,Treatment,Tissue,Accession,Timepoint,Custome
JWW_control_1_1,Control,Leaf,J,0,Unknown
JWW_control_2_1,Control,Leaf,J,0,Unknown
JWW_control_3_1,Control,Leaf,J,0,Unknown
JWW_cold_25_1,COLD,Leaf,J,25,Unknown
JWW_cold_25_2,COLD,Leaf,J,25,Unknown
JWW_cold_25_3,COLD,Leaf,J,25,Unknown
JWW_cold_30_1,COLD,Leaf,J,30,Unknown
JWW_cold_30_2,COLD,Leaf,J,30,Unknown
JWW_cold_30_3,COLD,Leaf,J,30,Unknown
JWW_cold_35_1,COLD,Leaf,J,35,Unknown
JWW_cold_35_2,COLD,Leaf,J,35,Unknown
JWW_cold_35_3,COLD,Leaf,J,35,Unknown
JWW_control_1,CONTROL,Leaf,J,0,Unknown
JWW_control_2,CONTROL,Leaf,J,0,Unknown
JWW_control_3,CONTROL,Leaf,J,0,Unknown
JWW_cold45_1,COLD,Leaf,J,45,Unknown
JWW_cold_45_2,COLD,Leaf,J,45,Unknown
JWW_cold_45_3,COLD,Leaf,J,45,Unknown
JWW_cold_50_1,COLD,Leaf,J,50,Unknown
JWW_cold_50_2,COLD,Leaf,J,50,Unknown
JWW_cold_50_3,COLD,Leaf,J,50,Unknown
XBJ_control_1_1,CONTROL,Leaf,X,0,Unknown
XBJ_control_2_1,CONTROL,Leaf,X,0,Unknown
XBJ_control_3_1,CONTROL,Leaf,X,0,Unknown
XBJ_cold_10_1,COLD,Leaf,X,10,Unknown
XBJ_cold_10_2,COLD,Leaf,X,10,Unknown
XBJ_cold_10_3,COLD,Leaf,X,10,Unknown
XBJ_cold_15_1,COLD,Leaf,X,15,Unknown
XBJ_cold_15_2,COLD,Leaf,X,15,Unknown
XBJ_cold_15_3,COLD,Leaf,X,15,Unknown
XBJ_cold_25_1,COLD,Leaf,X,25,Unknown
XBJ_cold_25_2,COLD,Leaf,X,25,Unknown
XBJ_cold_25_3,COLD,Leaf,X,25,Unknown
XBJ_control_1,CONTROL,Leaf,X,0,Unknown
XBJ_control_2,CONTROL,Leaf,X,0,Unknown
XBJ_control_3,CONTROL,Leaf,X,0,Unknown
XBJ_cold_40_1,COLD,Leaf,X,40,Unknown
XBJ_cold_40_2,COLD,Leaf,X,40,Unknown
XBJ_cold_40_3,COLD,Leaf,X,40,Unknown
XBJ_cold_50_1,COLD,Leaf,X,50,Unknown
XBJ_cold_50_2,COLD,Leaf,X,50,Unknown
XBJ_cold_50_3,COLD,Leaf,X,50,Unknown
