,Treatment,Tissue,Custome
SD1-1,Drought,Leaves,Unknown
SD1-2,Drought,Leaves,Unknown
SD1-3,Drought,Leaves,Unknown
SD2-1,Drought,Leaves,Unknown
SD2-2,Drought,Leaves,Unknown
SD2-2b,Drought,Leaves,Unknown
SD2-3,Drought,Leaves,Unknown
SD2-4,Drought,Leaves,Unknown
SD2-5,Drought,Leaves,Unknown
SWW1,Control,Leaves,Unknown
SWW1-2,Control,Leaves,Unknown
SWW1-3,Control,Leaves,Unknown
SWW1-4,Control,Leaves,Unknown
SWW2-1,Rewatered,Leaves,Unknown
SWW2-2,Rewatered,Leaves,Unknown
SWW2-3,Rewatered,Leaves,Unknown
SWW2-4,Rewatered,Leaves,Unknown
YD1-1,Drought,Leaves,Unknown
YD1-2,Drought,Leaves,Unknown
YD1-3,Drought,Leaves,Unknown
YD2-1,Drought,Leaves,Unknown
YD2-1b,Drought,Leaves,Unknown
YD2-2,Drought,Leaves,Unknown
YD2-3,Drought,Leaves,Unknown
YD2-4,Drought,Leaves,Unknown
YWW1-1,Control,Leaves,Unknown
YWW1-2,Control,Leaves,Unknown
YWW1-3,Control,Leaves,Unknown
YWW1-4,Control,Leaves,Unknown
YWW2-1,Rewatered,Leaves,Unknown
YWW2-2,Rewatered,Leaves,Unknown
YWW2-3,Rewatered,Leaves,Unknown
YWW2-4,Rewatered,Leaves,Unknown
